iter	Passed	Remaining
0	0	70
1	1	67
2	2	69
3	2	64
4	3	68
5	4	66
6	4	65
7	5	66
8	6	66
9	7	66
10	8	66
11	9	66
12	9	66
13	10	66
14	11	67
15	12	67
16	13	67
17	14	67
18	15	66
19	16	66
20	17	65
21	18	64
22	19	63
23	20	63
24	22	68
25	24	69
26	25	69
27	26	68
28	27	68
29	29	68
30	31	69
31	32	68
32	33	68
33	35	68
34	36	67
35	37	67
36	38	66
37	39	64
38	40	63
39	41	62
40	43	62
41	43	60
42	45	59
43	45	58
44	47	57
45	48	56
46	49	55
47	50	54
48	51	54
49	53	53
50	54	52
51	55	51
52	57	50
53	58	49
54	59	48
55	60	47
56	61	46
57	62	45
58	64	44
59	65	43
60	66	42
61	68	41
62	69	40
63	70	39
64	70	38
65	71	37
66	72	35
67	73	34
68	74	33
69	75	32
70	76	31
71	78	30
72	79	29
73	80	28
74	81	27
75	83	26
76	84	25
77	85	24
78	86	22
79	87	21
80	87	20
81	88	19
82	89	18
83	90	17
84	91	16
85	92	14
86	92	13
87	93	12
88	94	11
89	95	10
90	95	9
91	96	8
92	97	7
93	98	6
94	98	5
95	99	4
96	100	3
97	101	2
98	101	1
99	102	0
